location,size,total_sqft,bath,price,bhk,Price_Per_sqft
Chandapura,2 BHK,650.0,1.0,17.0,2,2615.3846153846152
Kothanur,3 Bedroom,2400.0,2.0,150.0,3,6250.0
Green View Layout,2 BHK,1007.0,2.0,43.0,2,4270.109235352532
Shantiniketan Layout,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
Rajaji Nagar,3 BHK,1640.0,3.0,229.0,3,13963.414634146342
Devanahalli,2 BHK,1260.0,2.0,66.78,2,5300.0
Byatarayanapura,3 BHK,1413.0,2.0,75.0,3,5307.855626326964
Whitefield,2 BHK,1116.0,2.0,51.91,2,4651.433691756272
Electronic City,3 BHK,1530.0,2.0,45.9,3,3000.0
Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3,5606.728073688426
Kengeri,3 BHK,1540.0,2.0,64.0,3,4155.8441558441555
Thanisandra,3 BHK,1427.0,3.0,120.0,3,8409.250175192712
Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3,9704.02717127608
Hebbal,4 BHK,5611.5,4.0,477.0,4,8500.400962309543
Devanahalli,3 BHK,1282.0,2.0,68.52,3,5344.773790951638
LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,3,4062.5
Hormavu,2 BHK,1500.0,2.0,78.0,2,5200.0
Peenya,3 BHK,1870.0,3.0,110.0,3,5882.35294117647
Sarjapur,3 Bedroom,1600.0,3.0,75.0,3,4687.5
Electronic City,2 BHK,880.0,1.0,16.5,2,1875.0
Kudlu Gate,3 BHK,1535.0,3.0,83.0,3,5407.166123778502
Kanakpura Road,2 BHK,950.0,2.0,57.0,2,6000.0
Devanahalli,2 BHK,1360.0,2.0,65.0,2,4779.411764705882
8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
Chandra Layout,3 BHK,1260.0,2.0,85.05,3,6750.0
Yelahanka,5 BHK,3050.0,5.0,213.0,5,6983.606557377049
Kasavanhalli,3 BHK,1563.05,3.0,105.0,3,6717.635392341896
Anandapura,2 BHK,1167.0,2.0,43.76,2,3749.7857754927163
Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2,3932.5842696629215
Basavanapura,3 BHK,1612.0,3.0,46.74,3,2899.5037220843674
Mysore Road,3 BHK,1710.0,4.0,91.31,3,5339.766081871345
Kannamangala,2 BHK,957.0,2.0,58.0,2,6060.606060606061
Hulimavu,2 BHK,1125.0,2.0,50.0,2,4444.444444444444
Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2,3000.0
Thanisandra,3 BHK,1735.0,3.0,135.0,3,7780.979827089337
Thanisandra,3 BHK,2050.0,3.0,145.0,3,7073.170731707317
Hosa Road,2 BHK,1063.0,2.0,32.0,2,3010.348071495767
Keshava Nagar,3 BHK,1904.0,3.0,150.0,3,7878.151260504202
RMV Extension,3 BHK,2000.0,3.0,175.0,3,8750.0
Sarjapur,2 BHK,1242.5,2.0,43.49,2,3500.201207243461
Tejaswini Nagar,3 BHK,1425.0,2.0,75.0,3,5263.1578947368425
Electronic City,3 BHK,1500.0,2.0,64.5,3,4300.0
Electronic City,2 BHK,1060.0,2.0,60.0,2,5660.377358490566
Jai Bheema Nagar,3 BHK,1470.0,2.0,70.0,3,4761.9047619047615
Attibele,1 BHK,450.0,1.0,11.0,1,2444.4444444444443
Electronic City,2 BHK,1152.0,2.0,64.5,2,5598.958333333333
Electronic City,3 BHK,1350.0,2.0,56.0,3,4148.148148148148
CV Raman Nagar,3 BHK,1550.0,3.0,65.0,3,4193.548387096775
Malleshwaram,1 BHK,705.0,1.0,67.0,1,9503.54609929078
Electronic City,2 BHK,770.0,1.0,36.0,2,4675.324675324675
Hulimavu,2 BHK,1242.0,2.0,51.0,2,4106.280193236715
Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3,9117.64705882353
Thanisandra,3 BHK,2144.0,3.0,145.0,3,6763.059701492537
Vijayanagar,3 BHK,1704.0,3.0,110.0,3,6455.399061032864
Electronic City,2 BHK,1070.0,2.0,52.0,2,4859.813084112149
Electronic City,2 BHK,1025.0,2.0,46.0,2,4487.804878048781
KR Puram,2 BHK,1277.5,2.0,56.8,2,4446.183953033268
Marathahalli,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,3,5161.290322580645
Marathahalli,2 BHK,1200.0,2.0,60.0,2,5000.0
Yelahanka,2 BHK,1327.0,2.0,98.0,2,7385.079125847777
HSR Layout,3 BHK,1400.0,3.0,56.0,3,4000.0
Whitefield,2 BHK,1225.0,2.0,47.6,2,3885.714285714286
Kadugodi,3 BHK,1260.0,2.0,54.0,3,4285.714285714285
Yelahanka,3 BHK,1282.0,2.0,48.7,3,3798.751950078003
Kogilu,3 BHK,1909.0,3.0,88.0,3,4609.743321110529
Panathur,2 BHK,1359.0,2.0,87.0,2,6401.766004415011
Kammasandra,3 BHK,1595.0,3.0,65.0,3,4075.2351097178685
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,3,5307.796610169492
Tala Cauvery Layout,3 BHK,1580.0,3.0,100.0,3,6329.113924050633
Dasarahalli,2 BHK,1295.0,2.0,65.0,2,5019.305019305019
Electronic City,1 BHK,589.0,1.0,27.0,1,4584.040747028863
Sarjapur  Road,3 BHK,1787.0,3.0,98.29,3,5500.279798545048
Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3,6994.963626189144
Koramangala,3 BHK,1475.0,2.0,90.0,3,6101.6949152542375
Sarjapur  Road,2 BHK,984.0,2.0,44.28,2,4500.0
Muthurayya Swamy Layout,3 BHK,2405.0,4.0,260.0,3,10810.81081081081
7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666.666666666667
Budigere,2 BHK,1153.0,2.0,56.4,2,4891.587163920208
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,60.0,2,5226.480836236934
Mylasandra,2 BHK,1110.0,2.0,55.0,2,4954.954954954955
Electronic City,2 BHK,1100.0,2.0,42.0,2,3818.181818181818
Kalyan nagar,2 BHK,1290.0,2.0,110.0,2,8527.131782945737
Vijayanagar,3 BHK,1933.0,3.0,129.0,3,6673.564407656492
Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
Chandapura,1 BHK,645.0,1.0,16.45,1,2550.3875968992247
Ashwath Nagar,3 BHK,1644.0,3.0,84.0,3,5109.489051094891
Ncpr Industrial Layout,2 BHK,1285.0,2.0,72.5,2,5642.023346303502
Electronic City,2 BHK,910.0,2.0,40.0,2,4395.604395604396
Kothanur,3 BHK,1577.0,3.0,70.0,3,4438.807863031072
Meenakunte,3 Bedroom,4050.0,3.0,280.0,3,6913.580246913581
OMBR Layout,3 BHK,2420.0,3.0,185.0,3,7644.628099173554
Chandapura,2 BHK,800.0,1.0,20.0,2,2500.0
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322.834645669292
Electronic City,2 BHK,1108.0,2.0,63.0,2,5685.9205776173285
Coffee Board Layout,3 BHK,3045.0,3.0,170.0,3,5582.922824302134
Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,4,10344.827586206897
Vijayanagar,3 BHK,1500.0,3.0,75.5,3,5033.333333333333
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2,3389.96138996139
Budigere,2 BHK,1162.0,2.0,59.9,2,5154.9053356282275
Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2,4753.623188405797
Attibele,4 Bedroom,1600.0,4.0,52.8,4,3300.0
Hennur Road,3 BHK,1866.0,2.0,61.58,3,3300.10718113612
Geleyara Balaga Layout,2 BHK,700.0,1.0,26.0,2,3714.285714285714
Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3,6651.884700665189
Talaghattapura,3 BHK,1868.0,3.0,131.0,3,7012.847965738758
Hegde Nagar,3 BHK,2026.0,3.0,132.0,3,6515.301085883514
Balagere,2 BHK,1210.0,2.0,80.9,2,6685.950413223141
Meenakunte,4 Bedroom,4111.0,4.0,250.0,4,6081.24543906592
Kadugodi,3 BHK,1762.0,3.0,91.45,3,5190.124858115778
Jigani,3 BHK,1252.0,3.0,55.0,3,4392.97124600639
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2,4006.968641114983
7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042.2535211267605
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3,5288.5906040268455
Old Madras Road,3 BHK,1425.0,2.0,94.0,3,6596.491228070176
Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2,3333.3333333333335
Silver Springs Layout,2 BHK,1084.0,2.0,50.0,2,4612.546125461255
Chandapura,2 BHK,1015.0,2.0,25.88,2,2549.753694581281
Kanakpura Road,2 BHK,1017.0,2.0,51.25,2,5039.331366764995
Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2,4209.541627689429
Hebbal,2 BHK,1349.0,2.0,98.2,2,7279.466271312083
9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975.124378109453
Jakkur,2 BHK,1417.0,2.0,75.0,2,5292.87226534933
Maruthi Sevanagar,2 BHK,950.0,2.0,47.0,2,4947.368421052632
RMV 2nd Stage,4 BHK,2000.0,4.0,120.0,4,6000.0
Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4,5582.393988191089
Singasandra,2 BHK,1010.0,2.0,29.5,2,2920.792079207921
Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3,4912.2807017543855
Vijayanagar,3 BHK,1450.0,3.0,100.0,3,6896.551724137931
Kothanur,3 BHK,1847.0,3.0,105.0,3,5684.89442338928
AECS Layout,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
Kanakpura Road,1 BHK,525.0,1.0,26.0,1,4952.380952380952
Mallasandra,3 BHK,1665.0,3.0,95.0,3,5705.705705705705
Begur,4 BHK,1664.0,4.0,65.0,4,3906.25
JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
Panathur,2 BHK,1438.0,2.0,100.0,2,6954.102920723227
Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,115.0,3,7371.794871794872
Kanakpura Road,3 BHK,1550.0,3.0,67.0,3,4322.580645161291
Whitefield,2 BHK,1280.0,2.0,75.0,2,5859.375
Motappa Layout,2 BHK,1113.0,2.0,51.0,2,4582.210242587601
Hennur Road,2 BHK,1385.0,2.0,83.09,2,5999.27797833935
Electronic City,2 BHK,1128.0,2.0,65.0,2,5762.41134751773
Rajaji Nagar,3 BHK,2390.0,3.0,415.0,3,17364.016736401674
Haralur Road,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
Kaggalipura,3 BHK,1150.0,2.0,55.0,3,4782.608695652174
Basavanna Nagar,3 BHK,1645.0,3.0,95.0,3,5775.075987841945
6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208.053691275168
Ulsoor,3 BHK,2135.0,3.0,215.0,3,10070.257611241217
Whitefield,2 BHK,1173.0,2.0,58.0,2,4944.58653026428
Uttarahalli,2 BHK,1020.0,2.0,45.0,2,4411.764705882353
Thigalarapalya,4 BHK,3122.0,6.0,230.0,4,7367.072389493914
 Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,3200.0
Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2,5735.8490566037735
7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
Bommasandra,3 BHK,1260.0,3.0,49.36,3,3917.4603174603176
Prashanth Nagar,3 BHK,1800.0,3.0,150.0,3,8333.333333333334
Suragajakkanahalli,3 Bedroom,11.0,3.0,74.0,3,672727.2727272727
Ardendale,2 BHK,1100.0,2.0,43.25,2,3931.818181818182
Harlur,2 BHK,1508.0,2.0,77.0,2,5106.100795755968
Sampigehalli,3 BHK,1592.0,3.0,75.0,3,4711.05527638191
Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,4106.628242074928
Electronic City Phase II,1 BHK,630.0,1.0,28.35,1,4500.0
Kodihalli,4 BHK,3252.0,5.0,335.0,4,10301.353013530135
Magadi Road,2 BHK,1116.0,2.0,50.0,2,4480.286738351255
Narayanapura,2 BHK,1308.0,2.0,89.04,2,6807.339449541284
Hennur,2 BHK,1075.0,2.0,52.0,2,4837.209302325581
Chandapura,1 BHK,530.0,1.0,11.66,1,2200.0
5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
KR Puram,2 BHK,930.0,2.0,39.0,2,4193.548387096775
Balagere,2 BHK,1380.0,2.0,60.0,2,4347.826086956522
Hebbal,4 BHK,2483.0,5.0,212.0,4,8538.058799838904
Kodigehaali,2 BHK,1166.0,2.0,55.0,2,4716.981132075472
Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2,6190.476190476191
Gopalapura,3 BHK,2023.71,3.0,275.0,3,13588.903548433324
Begur Road,2 BHK,1200.0,2.0,46.8,2,3900.0
Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3,6750.0
Billekahalli,3 BHK,1935.0,3.0,110.0,3,5684.754521963824
8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,6629.711751662971
Electronic City,3 BHK,1800.0,3.0,95.0,3,5277.777777777777
Jalahalli,3 BHK,1400.0,3.0,77.0,3,5500.0
Hegde Nagar,3 BHK,1801.0,3.0,115.0,3,6385.341476957246
Begur Road,2 BHK,1160.0,2.0,44.0,2,3793.103448275862
Kanakpura Road,2 BHK,950.0,2.0,40.0,2,4210.526315789473
Vijayanagar,3 BHK,1826.0,3.0,121.0,3,6626.506024096386
7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2,7550.2008032128515
Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,45.79,2,3999.126637554585
Sompura,2 BHK,825.0,2.0,33.0,2,4000.0
Yeshwanthpur,3 BHK,1693.0,3.0,108.0,3,6379.208505611341
Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,2,4760.74986301616
Ashirvad Colony,2 BHK,1460.0,2.0,58.0,2,3972.6027397260273
Doddathoguru,2 BHK,1050.0,2.0,32.0,2,3047.6190476190477
Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2,4365.079365079365
Hosur Road,2 BHK,1656.0,2.0,120.0,2,7246.376811594203
Chandapura,3 BHK,1208.0,3.0,45.0,3,3725.1655629139073
Whitefield,3 BHK,1910.0,3.0,161.0,3,8429.319371727748
Whitefield,4 BHK,3252.0,4.0,230.0,4,7072.570725707257
7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2,6978.723404255319
Rajaji Nagar,3 BHK,2390.0,3.0,410.0,3,17154.81171548117
Kengeri,2 BHK,750.0,2.0,38.0,2,5066.666666666667
Kanakpura Road,3 BHK,1550.0,3.0,64.5,3,4161.290322580645
Amco Colony,3 BHK,1760.0,3.0,88.0,3,5000.0
Billekahalli,2 BHK,1125.0,2.0,62.0,2,5511.111111111111
Budigere,3 BHK,1991.0,4.0,103.0,3,5173.279758915118
Bommasandra,2 BHK,1060.0,2.0,26.5,2,2500.0
Ambalipura,2 BHK,1105.0,2.0,75.0,2,6787.330316742082
Hoodi,2 BHK,985.0,2.0,67.0,2,6802.030456852792
Balagere,3 BHK,1590.0,3.0,79.0,3,4968.553459119496
CV Raman Nagar,2 BHK,1120.0,2.0,55.0,2,4910.714285714285
Samethanahalli,2 BHK,1069.0,2.0,55.0,2,5144.9953227315245
Marathahalli,3 BHK,1933.0,3.0,140.0,3,7242.628039317124
Hosur Road,2 BHK,1194.0,2.0,69.0,2,5778.894472361809
Brookefield,2 BHK,1150.0,2.0,69.0,2,6000.0
Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,48.1,2,3389.7110641296686
Suddaguntepalya,3 BHK,1450.0,3.0,55.0,3,3793.103448275862
Udayapur Village,3 BHK,1630.0,3.0,68.29,3,4189.57055214724
Dasanapura,2 BHK,708.0,1.0,40.0,2,5649.717514124294
Bellandur,2 BHK,1250.0,2.0,76.0,2,6080.0
7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
Ardendale,3 BHK,1750.0,3.0,100.0,3,5714.285714285715
Vittasandra,2 BHK,1404.0,2.0,71.0,2,5056.980056980057
Hoodi,3 BHK,1715.0,2.0,95.0,3,5539.35860058309
Electronic City,1 BHK,630.0,1.0,34.65,1,5500.0
Harlur,3 BHK,1752.12,3.0,135.0,3,7704.951715635916
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,55.47,2,4283.397683397683
Giri Nagar,3 Bedroom,1800.0,3.0,252.0,3,14000.0
Sarjapur  Road,2 BHK,1346.0,2.0,74.03,2,5500.0
Hormavu,2 BHK,1150.0,2.0,55.0,2,4782.608695652174
Chikkabidarakallu,4 Bedroom,3309.0,4.0,325.0,4,9821.698398307646
Chandapura,3 BHK,1190.0,2.0,30.35,3,2550.4201680672268
AECS Layout,3 BHK,1620.0,3.0,98.0,3,6049.382716049383
1 Giri Nagar,11 BHK,5000.0,9.0,360.0,11,7200.0
Harlur,3 BHK,2450.0,3.0,120.0,3,4897.959183673469
Electronic City Phase II,3 BHK,1220.0,2.0,35.23,3,2887.7049180327863
Hoysalanagar,2 BHK,850.0,2.0,30.0,2,3529.4117647058824
Defence Colony,2 BHK,1150.0,2.0,126.0,2,10956.521739130434
Hebbal,3 BHK,1760.0,2.0,130.0,3,7386.363636363636
Amruthahalli,2 BHK,900.0,2.0,40.0,2,4444.444444444444
Whitefield,2 BHK,1130.0,2.0,42.16,2,3730.973451327434
Koramangala,2 BHK,1320.0,2.0,165.0,2,12500.0
Patelappa Layout,2 BHK,1200.0,2.0,62.0,2,5166.666666666667
Subramanyapura,2 BHK,929.0,2.0,50.17,2,5400.4305705059205
RMV 2nd Stage,4 BHK,1150.0,4.0,260.0,4,22608.695652173912
3rd Block Hrbr Layout,5 Bedroom,1200.0,5.0,190.0,5,15833.333333333334
Hebbal Kempapura,2 BHK,1130.0,2.0,60.0,2,5309.734513274337
Surabhi Layout,3 BHK,1753.0,3.0,120.0,3,6845.407872219053
Old Madras Road,5 BHK,4500.0,7.0,337.0,5,7488.888888888889
Hoodi,2 BHK,1196.0,2.0,94.42,2,7894.648829431439
5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2,4565.217391304348
Electronic City,2 BHK,1128.0,2.0,63.0,2,5585.106382978724
Omkar Nagar,2 BHK,1000.0,2.0,53.0,2,5300.0
Yelahanka,2 BHK,1035.0,2.0,45.0,2,4347.826086956522
Bisuvanahalli,3 BHK,1075.0,2.0,36.0,3,3348.8372093023254
Whitefield,2 BHK,1040.0,2.0,48.5,2,4663.461538461538
Lingadheeranahalli,3 BHK,1511.0,3.0,95.0,3,6287.22700198544
Hoodi,3 BHK,1545.0,3.0,68.75,3,4449.838187702266
JP Nagar,2 BHK,1000.0,2.0,35.0,2,3500.0
Kambipura,2 BHK,883.0,2.0,45.0,2,5096.262740656852
Sarjapur  Road,2 BHK,1195.0,2.0,70.0,2,5857.740585774059
Vittasandra,2 BHK,1246.0,2.0,67.0,2,5377.2070626003215
Haralur Road,4 BHK,2805.0,5.0,154.0,4,5490.196078431372
VHBCS Layout,2 BHK,1353.0,2.0,110.0,2,8130.081300813008
Electronic City,3 BHK,1599.0,3.0,125.0,3,7817.385866166354
Whitefield,2 BHK,1150.0,2.0,70.0,2,6086.95652173913
Jakkur,4 BHK,5230.0,6.0,465.0,4,8891.013384321224
KR Puram,2 BHK,1155.0,2.0,42.74,2,3700.4329004329006
Rajiv Nagar,3 BHK,1867.0,3.0,160.0,3,8569.89823245849
Ramagondanahalli,2 BHK,1251.0,2.0,47.0,2,3756.994404476419
Gattahalli,2 BHK,1028.0,2.0,45.5,2,4426.070038910506
Arekere,2 BHK,1222.0,2.0,45.0,2,3682.4877250409168
Bannerghatta Road,3 BHK,1170.0,2.0,66.0,3,5641.025641025641
Hebbal,3 BHK,2400.0,4.0,245.0,3,10208.333333333334
HSR Layout,2 BHK,1372.0,2.0,68.0,2,4956.268221574344
Magadi Road,3 BHK,1282.0,2.0,49.0,3,3822.1528861154447
Mico Layout,9 BHK,5000.0,9.0,210.0,9,4200.0
Kanakpura Road,2 BHK,1135.0,2.0,39.73,2,3500.440528634361
Byatarayanapura,3 BHK,1325.0,2.0,90.0,3,6792.452830188679
Electronic City,3 BHK,1599.0,3.0,99.0,3,6191.369606003753
Hennur Road,2 BHK,1317.5,2.0,63.77,2,4840.2277039848195
Hebbal,3 BHK,3450.0,5.0,260.0,3,7536.231884057971
Munnekollal,2 BHK,1102.0,2.0,53.67,2,4870.235934664247
Yelahanka,2 BHK,1350.0,2.0,54.0,2,4000.0
Kanakpura Road,1 BHK,525.0,1.0,27.25,1,5190.476190476191
Attibele,2 BHK,656.0,2.0,25.0,2,3810.9756097560976
3rd Block Hrbr Layout,2 BHK,1056.0,2.0,80.0,2,7575.757575757576
Bannerghatta Road,1 BHK,595.0,1.0,33.32,1,5600.0
7th Phase JP Nagar,3 BHK,2225.0,3.0,160.0,3,7191.011235955056
Bommasandra,2 BHK,1126.0,2.0,28.15,2,2500.0
Electronics City Phase 1,3 BHK,1490.0,3.0,84.0,3,5637.583892617449
Sarjapur  Road,3 BHK,1550.0,3.0,100.0,3,6451.612903225807
Whitefield,4 Bedroom,4144.0,4.0,315.0,4,7601.351351351352
Sarjapur  Road,3 BHK,2100.0,3.0,125.0,3,5952.380952380952
Vittasandra,2 BHK,1404.0,2.0,69.3,2,4935.897435897436
Sarjapur  Road,4 Bedroom,2230.0,4.0,225.0,4,10089.686098654709
Banashankari Stage III,3 BHK,1305.0,2.0,58.7,3,4498.08429118774
Marathahalli,2 BHK,1230.0,2.0,80.0,2,6504.065040650406
Hormavu,1 BHK,715.0,1.0,46.0,1,6433.566433566433
Whitefield,3 BHK,2500.0,3.0,313.0,3,12520.0
Dooravani Nagar,3 BHK,1578.0,3.0,180.0,3,11406.84410646388
Jigani,2 BHK,1020.0,2.0,40.0,2,3921.5686274509803
Koramangala,2 BHK,1253.0,2.0,102.0,2,8140.462889066241
JCR Layout,2 BHK,1180.0,2.0,42.0,2,3559.322033898305
Nehru Nagar,2 BHK,961.0,2.0,38.0,2,3954.2143600416234
Harlur,3 BHK,1709.0,3.0,150.0,3,8777.062609713283
Sneha Colony,2 BHK,1260.0,2.0,45.0,2,3571.4285714285716
RMV Extension,3 BHK,1630.0,3.0,85.0,3,5214.7239263803685
Sarjapur  Road,3 BHK,1249.0,3.0,44.71,3,3579.663730984788
Kalena Agrahara,3 BHK,1450.0,2.0,85.0,3,5862.068965517241
Konanakunte,3 BHK,2791.0,3.0,223.0,3,7989.967753493372
Ashwini layout,1 BHK,834.0,1.0,60.0,1,7194.244604316546
Gottigere,2 BHK,891.0,2.0,25.0,2,2805.8361391694725
Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,49.07,2,4330.979699911739
Bisuvanahalli,3 BHK,1075.0,2.0,37.0,3,3441.860465116279
Raja Rajeshwari Nagar,2 BHK,1090.0,2.0,42.0,2,3853.211009174312
Hebbal,3 BHK,1920.0,3.0,134.0,3,6979.166666666667
HRBR Layout,2 BHK,1374.0,2.0,95.0,2,6914.1193595342065
Kanakapura,1 BHK,711.0,1.0,36.0,1,5063.291139240507
Tumkur Road,3 BHK,1500.0,3.0,95.0,3,6333.333333333333
Whitefield,3 BHK,1720.0,3.0,100.0,3,5813.953488372093
Mysore Road,2 BHK,1200.0,2.0,85.0,2,7083.333333333333
Hosahalli,3 BHK,1375.0,3.0,70.0,3,5090.909090909091
Jalahalli,3 BHK,2250.0,3.0,160.0,3,7111.111111111111
Bellandur,2 BHK,1000.0,2.0,50.0,2,5000.0
Jalahalli West,1 BHK,469.0,1.0,25.0,1,5330.490405117271
